Place,Coordinates,Time,PIN Code,Region
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778367 - 77.7275867),2024-06-03 16:43:20,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9777978 - 77.7277528),2024-06-03 16:46:23,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778413 - 77.7277789),2024-06-03 16:49:28,560066,Whitefield Area
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778317 - 77.72758),2024-06-03 16:52:34,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779677 - 77.7277679),2024-06-03 16:56:39,560066,Whitefield Area
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.97789 - 77.727515),2024-06-03 16:59:44,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.977876 - 77.7277366),2024-06-03 17:02:48,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779143 - 77.7277938),2024-06-03 17:05:50,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779595 - 77.727767),2024-06-03 17:08:57,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779367 - 77.7277425),2024-06-03 17:12:03,560066,Whitefield Area
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9779733 - 77.7277816),2024-06-03 17:15:08,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9777938 - 77.7277889),2024-06-03 17:18:12,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778171 - 77.7277706),2024-06-03 17:21:15,560066,Whitefield Area
"L-Center, Vydehi RC-1 Block, EPIP Industrial Area, 82, 6th Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778433 - 77.7275633),2024-06-03 17:24:21,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9777176 - 77.7273213),2024-06-03 17:27:26,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9777394 - 77.7277809),2024-06-03 17:30:24,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778989 - 77.7277857),2024-06-03 17:33:33,560066,Whitefield Area
"77, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778354 - 77.7277695),2024-06-03 17:36:36,560066,Whitefield Area
"TATA CONSULTANCY SERVICES-1, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9778083 - 77.7273917),2024-06-03 17:39:45,560066,Whitefield Area
"Jbr Tech Park, Jbr Tech Park, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9780007 - 77.72778),2024-06-03 17:42:50,560066,Whitefield Area
"First Technology Park Citius Block, Road No. 10, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9844138 - 77.7292916),2024-06-03 17:47:56,560066,Whitefield Area
"First Technology Park Citius Block, Road No. 10, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9844138 - 77.7292916),2024-06-03 17:51:01,560066,Whitefield Area
"First Technology Park Citius Block, Road No. 10, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9844138 - 77.7292916),2024-06-03 17:54:13,560066,Whitefield Area
"09, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9840733 - 77.7284183),2024-06-03 17:57:24,560066,Whitefield Area
"09, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9841383 - 77.7284583),2024-06-03 18:00:30,560066,Whitefield Area
"09, Road No. 10, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9842667 - 77.7285533),2024-06-03 18:04:10,560066,Whitefield Area
"09, Road No. 10, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9845883 - 77.7286417),2024-06-03 18:07:10,560066,Whitefield Area
"IBM Bus Stop, 1st Main Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9840911 - 77.7287857),2024-06-03 18:11:11,560066,Whitefield Area
"220, ITPL Main Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9882874 - 77.7298738),2024-06-03 18:16:10,560066,Whitefield Area
"XPPG+XH2 Keerthi Signature Block-C, Keerthi Signature, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",(12.9876059 - 77.7259852),2024-06-03 18:19:12,560066,Whitefield Area
"No 01, near Brundavan Bar And Restaurant, Hoodi, Bengaluru, Karnataka 560048, India",(12.9920577 - 77.71696),2024-06-03 18:22:12,560048,Electronic City
"XPV2+GHP, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048, India",(12.993824 - 77.7014367),2024-06-03 18:26:49,560048,Electronic City
"Itpl Main Rd Mhadevpur, Itpl Mine Rd Mhadevpur, RHB Colony, Mahadevapura, Bengaluru, Karnataka 560048, India",(12.9951544 - 77.6959477),2024-06-03 18:31:33,560048,Electronic City
"B Narayanapura, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016, India",(13.0002715 - 77.6837554),2024-06-03 18:34:56,560016,Indiranagar
"411, 2nd Main Rd, A Narayanapura, Jyothi Puram, Dooravani Nagar, Bengaluru, Karnataka 560016, India",(12.9941264 - 77.6717024),2024-06-03 18:40:00,560016,Indiranagar
"Salarpuria Sattva Magnificia, 11, Shakti Nagar Rd, Pai Layout, Mahadevapura, Bengaluru, Karnataka 560048, India",(12.9950517 - 77.6687933),2024-06-03 18:44:10,560048,Electronic City
"83, 2nd Main Rd, East of NGEF Layout, Indiranagar, Bengaluru, Karnataka 560038, India",(12.9984813 - 77.6635043),2024-06-03 18:47:06,560038,Electronic City
"211, Outer Ring Rd, East of NGEF Layout, Kasturi Nagar, Bengaluru, Karnataka 560043, India",(13.0041769 - 77.6627746),2024-06-03 18:50:26,560043,Indiranagar
"70, 7th Cross Rd, Vijaya Bank Colony, Banaswadi, Bengaluru, Karnataka 560043, India",(13.0159713 - 77.6615213),2024-06-03 18:53:37,560043,Indiranagar
"23, Service Rd, Kallumantapa, Horamavu, Bengaluru, Karnataka 560043, India",(13.0175583 - 77.6586683),2024-06-03 18:56:45,560043,Indiranagar
"Shop Number. 2,Akkamma Bulding, Horamavu Main Rd, T K Reddy Layout, Annaiah Reddy Layout, Dodda Banaswadi, Bengaluru, Karnataka 560043, India",(13.0184817 - 77.6565467),2024-06-03 18:59:50,560043,Indiranagar
"2JJJ+P6C, HBR Layout 4th Block, HBR Layout, Bengaluru, Karnataka 560043, India",(13.0319333 - 77.630445),2024-06-03 19:02:57,560043,Indiranagar
"2JR8+FW3, DadaMastan Layout, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560024, India",(13.04073 - 77.6174733),2024-06-03 19:06:04,560024,Bannerghatta Road
"2JV2+9QX, Service Rd, Nagavara, Bengaluru, Karnataka 560032, India",(13.04369 - 77.6020683),2024-06-03 19:09:10,560032,Rajajinagar
"Kempapura, Service Rd, Kariyana Layout, Chinana Layout, Guddadahalli, Hebbal, Bengaluru, Karnataka 560032, India",(13.0427333 - 77.601465),2024-06-03 19:12:14,560032,Rajajinagar
"Tadipatri - Bangalore Rd, Subramani Nagar, Vayunandana Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024, India",(13.0433333 - 77.59071),2024-06-03 19:15:19,560024,Bannerghatta Road
"University Of Agricultural Sciences Institure Of Animal Health & Veterinary Biologicals, UNIVERSITY OF AGRICULTURAL SCIENCES, Sanjayanagara, Bengaluru, Karnataka 560024, India",(13.0341667 - 77.5873883),2024-06-03 19:18:24,560024,Bannerghatta Road
"Raineo Associates,Shanker house,Mekhri circle, 1st Floor, CV Raman Rd, Raj Mahal Vilas Extension, Armane Nagar, Bengaluru, Karnataka 560080, India",(13.0144245 - 77.5834728),2024-06-03 19:21:26,560080,MG Road
"236, Kodandarampura, Armane Nagar, Bengaluru, Karnataka 560080, India",(13.0146384 - 77.5747291),2024-06-03 19:26:38,560080,MG Road
"238, Kodandarampura, Armane Nagar, Bengaluru, Karnataka 560080, India",(13.0144183 - 77.57429),2024-06-03 19:30:49,560080,MG Road
"401/A, Kodandarampura, Armane Nagar, Bengaluru, Karnataka 560012, India",(13.01277 - 77.5711917),2024-06-03 19:34:58,560012,Yeshwanthpur
"Institute Of Science Campus, 20, Devasandra Layout, Bengaluru, Karnataka 560012, India",(13.0226893 - 77.5686631),2024-06-03 19:37:53,560012,Yeshwanthpur
"Institute Of Science Campus, 20, Devasandra Layout, Bengaluru, Karnataka 560012, India",(13.022686 - 77.5685763),2024-06-03 19:38:10,560012,Yeshwanthpur
"XQH3+68M, Pattandur Gutta Kanakadasa Rd, Inner Valley, Whitefield, Bengaluru, Karnataka 560066, India",(12.9781245 - 77.7532323),2024-06-04 08:06:45,560066,Whitefield Area
"223/42, 5th Cross Rd, Hill Side Layout, Ambedkar Nagar, Whitefield, Bengaluru, Karnataka 560066, India",(12.9797851 - 77.7530359),2024-06-04 08:09:50,560066,Whitefield Area
"XQH2+WH7, Happy Valley, Whitefield, Bengaluru, Karnataka 560066, India",(12.9796414 - 77.7516261),2024-06-04 16:03:23,560066,Whitefield Area
"246, Inner Valley, Whitefield, Bengaluru, Karnataka 560066, India",(12.9795413 - 77.7518843),2024-06-04 16:05:34,560066,Whitefield Area
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419046 - 77.6197173),2024-06-05 06:02:06,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418843 - 77.6197047),2024-06-05 06:05:04,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419058 - 77.6197156),2024-06-05 06:08:08,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418851 - 77.6196993),2024-06-05 06:11:08,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419073 - 77.6197145),2024-06-05 06:14:16,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.041897 - 77.6197159),2024-06-05 06:17:16,560045,Indiranagar
"2JR9+WPQ, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0420289 - 77.6196733),2024-06-05 06:20:21,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418729 - 77.6197017),2024-06-05 06:23:23,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418839 - 77.6197052),2024-06-05 06:26:21,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418696 - 77.6196884),2024-06-05 06:29:20,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418931 - 77.6197078),2024-06-05 06:32:13,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.041912 - 77.6197154),2024-06-05 06:35:00,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419486 - 77.6197288),2024-06-05 06:37:46,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418856 - 77.6197056),2024-06-05 06:40:45,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419056 - 77.6197171),2024-06-05 06:43:34,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419048 - 77.6197114),2024-06-05 06:46:25,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418822 - 77.6196928),2024-06-05 06:49:15,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419053 - 77.6197116),2024-06-05 06:52:06,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418739 - 77.6196949),2024-06-05 06:54:59,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.041892 - 77.6197167),2024-06-05 06:57:45,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0417455 - 77.6196474),2024-06-05 07:00:33,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419054 - 77.6197118),2024-06-05 07:03:23,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418873 - 77.6197007),2024-06-05 07:06:11,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.041909 - 77.6197171),2024-06-05 07:09:04,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419046 - 77.619714),2024-06-05 07:11:49,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418984 - 77.6197102),2024-06-05 07:14:39,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419516 - 77.6197288),2024-06-05 07:17:34,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0419048 - 77.6197138),2024-06-05 07:20:28,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418885 - 77.6197021),2024-06-05 07:23:21,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418845 - 77.6196979),2024-06-05 07:26:06,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418934 - 77.6197099),2024-06-05 07:29:06,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418726 - 77.6196912),2024-06-05 07:32:10,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418706 - 77.6196905),2024-06-05 07:35:20,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0418835 - 77.6197104),2024-06-05 07:38:15,560045,Indiranagar
"Manyata Tech Park 1 Block-T, MS Ramaiah North City, Manayata Tech Park, Hebbal, Bengaluru, Karnataka 560045, India",(13.0415038 - 77.6192269),2024-06-05 07:41:06,560045,Indiranagar
"2, Outer Ring Rd, MS Ramaiah North City, Manayata Tech Park, Nagawara, Bengaluru, Karnataka 560045, India",(13.0418884 - 77.6201727),2024-06-05 07:43:49,560045,Indiranagar
"2, Outer Ring Rd, MS Ramaiah North City, Manayata Tech Park, Nagawara, Bengaluru, Karnataka 560045, India",(13.0418884 - 77.6201727),2024-06-05 07:46:31,560045,Indiranagar
"Manyatha Embasy Business Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0412617 - 77.6198837),2024-06-05 07:49:13,560045,Indiranagar
"Manyatha Embasy Business Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.041261 - 77.6198917),2024-06-05 07:51:57,560045,Indiranagar
"2JRC+H97, MS Ramaiah North City, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045, India",(13.0413042 - 77.6211557),2024-06-05 07:54:42,560045,Indiranagar
"Manyata Tech Park 2 Building M-2, Manyata Tech Park 2, Thanisandra, Bengaluru, Karnataka 560045, India",(13.0492858 - 77.6194001),2024-06-05 07:57:25,560045,Indiranagar
"65 gurukripa, 5th Cross Rd, Prasara Bharathi Layout, Dasarahalli, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.054118 - 77.6146792),2024-06-05 08:00:07,560024,Bannerghatta Road
"32, Nada Prabhu Kempe Gowda Main Rd, Fortune Valley, Mariyannapalya, Nagavara, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.0513446 - 77.6119511),2024-06-05 08:02:49,560024,Bannerghatta Road
"2JX6+Q2F, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Karnataka 560024, India",(13.0494695 - 77.6100355),2024-06-05 08:05:31,560024,Bannerghatta Road
"200, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.0498783 - 77.6100681),2024-06-05 08:08:13,560024,Bannerghatta Road
"200, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.0497952 - 77.6100763),2024-06-05 08:12:00,560024,Bannerghatta Road
"200, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.0497421 - 77.6100733),2024-06-05 08:14:43,560024,Bannerghatta Road
"200, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.049701 - 77.6100647),2024-06-05 08:17:33,560024,Bannerghatta Road
"Brijita Nilayam, 124, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.0496517 - 77.6100608),2024-06-05 08:20:18,560024,Bannerghatta Road
"2JX6+Q2F, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Karnataka 560024, India",(13.0495607 - 77.6100558),2024-06-05 08:23:06,560024,Bannerghatta Road
"2JX6+Q2F, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Karnataka 560024, India",(13.0495252 - 77.6100559),2024-06-05 08:25:52,560024,Bannerghatta Road
"2JX6+Q2F, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Karnataka 560024, India",(13.0495028 - 77.6100549),2024-06-05 08:28:40,560024,Bannerghatta Road
"2JX6+Q2F, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Karnataka 560024, India",(13.0494935 - 77.6100548),2024-06-05 08:31:25,560024,Bannerghatta Road
"2JX6+Q2F, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Karnataka 560024, India",(13.0494822 - 77.6100548),2024-06-05 08:34:10,560024,Bannerghatta Road
"2JX6+Q2F, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Karnataka 560024, India",(13.0494753 - 77.6100546),2024-06-05 08:37:00,560024,Bannerghatta Road
"2JX6+Q2F, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Karnataka 560024, India",(13.0494763 - 77.6100509),2024-06-05 08:39:45,560024,Bannerghatta Road
"2JX6+Q2F, Sandyagappa Reddy Layout, Coffee Board Layout, Nagavara, Bengaluru, Karnataka 560024, India",(13.0495334 - 77.6100198),2024-06-05 08:42:33,560024,Bannerghatta Road
"#198 sen James church main road, hebbal agricultural post., Mariyannapalya, Hebbal Kempapura, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.0497201 - 77.610466),2024-06-05 08:45:15,560024,Bannerghatta Road
"Dasarahalli Hebbala, Dasarahalli, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.0562075 - 77.6116055),2024-06-05 08:48:03,560024,Bannerghatta Road
"27, 10th Cross Rd, Bhuvaneswari Nagar, Hebbal Kempapura, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.0554208 - 77.6031056),2024-06-05 08:50:46,560024,Bannerghatta Road
"Sri Bhuvaneshwari Nagara, Bhuvaneswari Nagar, Dasarahalli, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560024, India",(13.0551622 - 77.6021764),2024-06-05 08:53:33,560024,Bannerghatta Road
"Dasarahalli Main Rd, Amruthnagar, Hebbal Kempapura, Bengaluru, Byatarayanapura CMC and OG Part, Karnataka 560092, India",(13.0554867 - 77.5973806),2024-06-05 08:56:16,560092,Bannerghatta Road
"AH43, Godrej Woodsman Estate, Hebbal Kempapura, Bengaluru, Karnataka 560092, India",(13.0533994 - 77.5938093),2024-06-05 08:59:03,560092,Bannerghatta Road
"13, Chiranjeevi Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024, India",(13.0516286 - 77.5935909),2024-06-05 09:01:45,560024,Bannerghatta Road
"Service Road, Kempapura, Hebbal, Bengaluru 560024, India",(13.050534 - 77.593264),2024-06-05 09:04:27,560024,Bannerghatta Road
"Service Road, Kempapura, Hebbal, Bengaluru 560024, India",(13.0471598 - 77.5919119),2024-06-05 09:07:12,560024,Bannerghatta Road
"Kempegowda International Airport Road, Hebbal, Bengaluru 560024, India",(13.0463346 - 77.5915135),2024-06-05 09:09:57,560024,Bannerghatta Road
"Kempegowda International Airport Road, Hebbal, Bengaluru 560024, India",(13.0450373 - 77.5907239),2024-06-05 09:12:42,560024,Bannerghatta Road
"Bellary Road, McEchs Layout, Sahakara Nagar, Bengaluru 560092, India",(13.0614505 - 77.5933399),2024-06-05 09:15:24,560092,Bannerghatta Road
"Bellary Road, Yelahanka, Bengaluru 560092, India",(13.087956 - 77.5954839),2024-06-05 09:18:08,560092,Bannerghatta Road
"Bellary Road, Maruthi Nagar-2nd Stage, Yelahanka, Bengaluru 560064, India",(13.113252 - 77.6059106),2024-06-05 09:20:54,560064,Hebbal
"Bellary Road, Hunasamaranahalli, Bengaluru 562157, India",(13.1387792 - 77.6174684),2024-06-05 09:23:38,562157,Airport Area
"5J7H+36C, Vidya Nagar Cross Rd, Subs Nagar, Chikkajala, Bengaluru, Karnataka 562157, India",(13.1631218 - 77.6282062),2024-06-05 09:26:24,562157,Airport Area
"Itc Factory, 39, Bengaluru, Karnataka 562157, India",(13.1860238 - 77.6425806),2024-06-05 09:29:06,562157,Airport Area
"Navayuga Toll, Yerthiganahalli, Karnataka 562157, India",(13.2003382 - 77.6619038),2024-06-05 09:32:42,562157,Airport Area
"Terminal Blvd, Karnataka 560300, India",(13.1985538 - 77.6898358),2024-06-05 09:35:27,560300,Airport Area
"5PX6+JCH, Gangamuthanahalli, Karnataka 560300, India",(13.1985867 - 77.7115382),2024-06-05 09:38:12,560300,Airport Area
"5PX8+G32, Devanahalli, Southegowdanahalli, Gangamuthanahalli, Karnataka 562110, India",(13.1991921 - 77.7150992),2024-06-05 09:40:57,562110,Yeshwanthpur
"BGM Interior T2 Airport, L&T Yard Area, Bengaluru, Gangamuthanahalli, Karnataka 560300, India",(13.1965392 - 77.7148307),2024-06-05 09:42:17,560300,Airport Area
